0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:12:32 -0600] "GET /GameMaven/adminLogin HTTP/1.1" 200 13798
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:12:33 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:12:36 -0600] "POST /GameMaven/checkAdmin HTTP/1.1" 200 16193
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:12:36 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:21:24 -0600] "POST /GameMaven/addVendor HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:21:25 -0600] "GET /GameMaven/populateList.html HTTP/1.1" 200 16418
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:21:25 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:21:36 -0600] "GET /GameMaven/home HTTP/1.1" 200 25690
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:21:37 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:21:39 -0600] "GET /GameMaven/adminLogin HTTP/1.1" 200 13798
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:21:39 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:21:44 -0600] "POST /GameMaven/checkAdmin HTTP/1.1" 200 16418
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:21:44 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:22:40 -0600] "GET /GameMaven/adminLogin HTTP/1.1" 200 13798
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:22:40 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:22:42 -0600] "GET /GameMaven/home HTTP/1.1" 200 25690
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:22:43 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:23:06 -0600] "GET /GameMaven/login HTTP/1.1" 200 13372
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:23:07 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:23:35 -0600] "POST /GameMaven/checkUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:23:36 -0600] "GET /GameMaven/home.html HTTP/1.1" 200 25690
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:23:36 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:23:42 -0600] "GET /GameMaven/login HTTP/1.1" 200 13372
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:23:42 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:23:46 -0600] "POST /GameMaven/checkUser HTTP/1.1" 200 27863
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:23:47 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:36:32 -0600] "POST /GameMaven/addProduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:36:32 -0600] "GET /GameMaven/populateVendorList.html HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:36:33 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:37:34 -0600] "GET /GameMaven/gamesAction HTTP/1.1" 200 20737
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:37:35 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:37:44 -0600] "GET /GameMaven/gamesAdventure HTTP/1.1" 200 15644
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:37:45 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:37:55 -0600] "GET /GameMaven/login HTTP/1.1" 200 13372
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:37:55 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:37:59 -0600] "POST /GameMaven/checkUser HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:38:00 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:39:31 -0600] "GET /GameMaven/home HTTP/1.1" 200 27368
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:39:31 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:39:43 -0600] "POST /GameMaven/buyGame HTTP/1.1" 200 18389
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:39:44 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
